AIB parody party music video.
Heart sensor crapped out. 
Walked before.




B: 31 T: 1454385489.0
H: nan T: 1454385490.0
B: 32 T: 1454385490.0
H: nan T: 1454385491.0
B: 32 T: 1454385491.0
H: nan T: 1454385492.0
B: 32 T: 1454385492.0
H: nan T: 1454385493.0
B: 33 T: 1454385493.0
H: nan T: 1454385494.0
B: 33 T: 1454385494.0
H: nan T: 1454385495.0
B: 33 T: 1454385495.0
H: nan T: 1454385496.0
B: 34 T: 1454385496.0
H: nan T: 1454385497.0
B: 33 T: 1454385497.0
H: nan T: 1454385498.0
B: 33 T: 1454385498.0
H: nan T: 1454385499.0
B: 33 T: 1454385499.0
H: nan T: 1454385500.0
B: 33 T: 1454385500.0
H: nan T: 1454385501.0
B: 32 T: 1454385501.0
H: nan T: 1454385502.0
B: 32 T: 1454385502.0
H: nan T: 1454385503.0
B: 32 T: 1454385503.0
H: nan T: 1454385504.0
B: 32 T: 1454385504.0
H: nan T: 1454385505.0
B: 32 T: 1454385505.0
H: nan T: 1454385506.0
B: 31 T: 1454385506.0
H: nan T: 1454385507.0
B: 32 T: 1454385507.0
H: nan T: 1454385508.0
B: 32 T: 1454385508.0
H: nan T: 1454385509.0
B: 31 T: 1454385509.0
H: nan T: 1454385510.0
B: 31 T: 1454385510.0
H: nan T: 1454385511.0
B: 31 T: 1454385511.0
H: nan T: 1454385512.0
B: 31 T: 1454385512.0
H: nan T: 1454385513.0
B: 32 T: 1454385513.0
H: nan T: 1454385514.0
B: 32 T: 1454385514.0
H: nan T: 1454385515.0
B: 32 T: 1454385515.0
H: nan T: 1454385516.0
B: 30 T: 1454385516.0
H: nan T: 1454385517.0
B: 30 T: 1454385517.0
H: nan T: 1454385518.0
B: 30 T: 1454385518.0
H: nan T: 1454385519.0
B: 30 T: 1454385519.0
H: nan T: 1454385520.0
B: 30 T: 1454385520.0
H: nan T: 1454385521.0
B: 30 T: 1454385521.0
H: nan T: 1454385522.0
B: 28 T: 1454385522.0
H: nan T: 1454385523.0
B: 25 T: 1454385523.0
H: nan T: 1454385524.0
B: 24 T: 1454385524.0
H: nan T: 1454385525.0
B: 23 T: 1454385525.0
H: nan T: 1454385526.0
B: 24 T: 1454385526.0
H: nan T: 1454385527.0
B: 23 T: 1454385527.0
H: nan T: 1454385528.0
B: 24 T: 1454385528.0
H: nan T: 1454385529.0
B: 23 T: 1454385529.0
H: nan T: 1454385530.0
B: 24 T: 1454385530.0
H: nan T: 1454385531.0
B: 24 T: 1454385531.0
H: nan T: 1454385532.0
B: 25 T: 1454385532.0
H: nan T: 1454385533.0
B: 26 T: 1454385533.0
H: nan T: 1454385534.0
B: 27 T: 1454385534.0
H: nan T: 1454385535.0
B: 27 T: 1454385535.0
H: nan T: 1454385536.0
B: 28 T: 1454385536.0
H: nan T: 1454385537.0
B: 28 T: 1454385537.0
H: nan T: 1454385538.0
B: 29 T: 1454385538.0
H: nan T: 1454385539.0
B: 30 T: 1454385539.0
H: nan T: 1454385540.0
B: 30 T: 1454385540.0
H: nan T: 1454385541.0
B: 30 T: 1454385541.0
H: nan T: 1454385542.0
B: 30 T: 1454385542.0
H: nan T: 1454385543.0
B: 30 T: 1454385543.0
H: nan T: 1454385544.0
B: 30 T: 1454385544.0
